time_sec,stance
22.0,Left-Handed
22.0,Left-Handed
22.0,Left-Handed
22.1,Left-Handed
22.1,Left-Handed
22.1,Left-Handed
22.2,Left-Handed
22.2,Left-Handed
22.2,Left-Handed
22.3,Left-Handed
22.3,Left-Handed
22.3,Left-Handed
22.4,Left-Handed
22.4,Left-Handed
22.4,Left-Handed
22.5,Left-Handed
22.5,Left-Handed
22.5,Left-Handed
22.6,Left-Handed
22.6,Left-Handed
22.6,Left-Handed
22.7,Left-Handed
22.7,Left-Handed
22.7,Left-Handed
22.8,Left-Handed
22.8,Left-Handed
22.8,Left-Handed
22.9,Left-Handed
22.9,Left-Handed
22.9,Left-Handed
23.0,Left-Handed
23.0,Left-Handed
23.0,Left-Handed
23.1,Left-Handed
23.1,Right-Handed
23.1,Right-Handed
23.2,Right-Handed
23.2,Right-Handed
23.2,Right-Handed
23.3,Right-Handed
23.3,Right-Handed
23.3,Right-Handed
23.4,Right-Handed
23.4,Right-Handed
23.4,Right-Handed
23.5,Left-Handed
23.5,Left-Handed
23.5,Left-Handed
23.6,Left-Handed
23.6,Left-Handed
23.6,Left-Handed
23.7,Left-Handed
23.7,Left-Handed
23.7,Left-Handed
23.8,Left-Handed
23.8,Left-Handed
23.8,Left-Handed
23.9,Left-Handed
23.9,Left-Handed
23.9,Left-Handed
24.0,Left-Handed
24.0,Left-Handed
24.0,Left-Handed
24.1,Left-Handed
24.1,Left-Handed
24.1,Left-Handed
24.2,Left-Handed
24.2,Left-Handed
24.2,Left-Handed
24.3,Left-Handed
24.3,Left-Handed
24.3,Left-Handed
24.4,Left-Handed
24.4,Left-Handed
24.4,Left-Handed
24.5,Left-Handed
24.5,Left-Handed
24.5,Left-Handed
24.6,Left-Handed
24.6,Left-Handed
24.6,Left-Handed
24.7,Left-Handed
24.7,Left-Handed
24.7,Left-Handed
24.8,Left-Handed
24.8,Left-Handed
24.8,Left-Handed
24.9,Left-Handed
24.9,Left-Handed
24.9,Left-Handed
25.0,Left-Handed
25.0,Left-Handed
25.0,Left-Handed
25.1,Left-Handed
25.1,Left-Handed
25.1,Left-Handed
25.2,Left-Handed
25.2,Left-Handed
25.2,Left-Handed
25.3,Left-Handed
25.3,Left-Handed
25.3,Left-Handed
25.4,Left-Handed
25.4,Left-Handed
25.4,Left-Handed
25.5,Left-Handed
25.5,Left-Handed
25.5,Left-Handed
25.6,Left-Handed
25.6,Left-Handed
25.6,Left-Handed
25.7,Left-Handed
25.7,Left-Handed
25.7,Left-Handed
25.8,Left-Handed
25.8,Left-Handed
25.8,Left-Handed
25.9,Left-Handed
25.9,Left-Handed
25.9,Left-Handed
26.0,Left-Handed
26.0,Left-Handed
26.0,Left-Handed
26.1,Left-Handed
26.1,Left-Handed
26.1,Left-Handed
26.2,Left-Handed
26.2,Left-Handed
26.2,Left-Handed
26.3,Left-Handed
26.3,Left-Handed
26.3,Left-Handed
26.4,Left-Handed
26.4,Left-Handed
26.4,Left-Handed
26.5,Left-Handed
26.5,Left-Handed
26.5,Left-Handed
26.6,Left-Handed
26.6,Left-Handed
26.6,Left-Handed
26.7,Left-Handed
26.7,Left-Handed
26.7,Left-Handed
26.8,Left-Handed
26.8,Left-Handed
26.8,Left-Handed
26.9,Left-Handed
26.9,Left-Handed
26.9,Left-Handed
27.0,Left-Handed
27.0,Left-Handed
27.0,Left-Handed
27.1,Left-Handed
27.1,Left-Handed
27.1,Left-Handed
27.2,Left-Handed
27.2,Left-Handed
27.2,Left-Handed
27.3,Left-Handed
27.3,Left-Handed
27.3,Left-Handed
27.4,Left-Handed
27.4,Left-Handed
27.4,Left-Handed
27.5,Left-Handed
27.5,Left-Handed
27.5,Left-Handed
27.6,Left-Handed
27.6,Left-Handed
27.6,Left-Handed
27.7,Left-Handed
27.7,Left-Handed
27.7,Left-Handed
27.8,Left-Handed
27.8,Left-Handed
27.8,Left-Handed
27.9,Left-Handed
27.9,Left-Handed
27.9,Left-Handed
28.0,Right-Handed
28.0,Right-Handed
28.0,Right-Handed
28.1,Right-Handed
28.1,Right-Handed
28.1,Right-Handed
28.2,Right-Handed
28.2,Right-Handed
28.2,Right-Handed
28.3,Right-Handed
28.3,Right-Handed
28.3,Right-Handed
28.4,Right-Handed
28.4,Right-Handed
28.4,Right-Handed
28.5,Right-Handed
28.5,Right-Handed
28.5,Right-Handed
28.6,Right-Handed
28.6,Right-Handed
28.6,Right-Handed
28.7,Right-Handed
28.7,Right-Handed
28.7,Left-Handed
28.8,Left-Handed
28.8,Left-Handed
28.8,Left-Handed
28.9,Left-Handed
28.9,Left-Handed
28.9,Left-Handed
29.0,Left-Handed
29.0,Left-Handed
29.0,Left-Handed
29.1,Left-Handed
29.1,Left-Handed
29.1,Left-Handed
29.2,Left-Handed
29.2,Left-Handed
29.2,Left-Handed
29.3,Left-Handed
29.3,Left-Handed
29.3,Left-Handed
29.4,Left-Handed
29.4,Left-Handed
29.4,Left-Handed
29.5,Right-Handed
29.5,Right-Handed
29.5,Right-Handed
29.6,Right-Handed
29.6,Right-Handed
29.6,Right-Handed
29.7,Right-Handed
29.7,Right-Handed
29.7,Right-Handed
29.8,Right-Handed
29.8,Right-Handed
29.8,Right-Handed
29.9,Right-Handed
29.9,Right-Handed
29.9,Right-Handed
30.0,Right-Handed
30.0,Right-Handed
30.0,Right-Handed
30.1,Right-Handed
30.1,Right-Handed
30.1,Right-Handed
30.2,Right-Handed
30.2,Right-Handed
30.2,Right-Handed
30.3,Right-Handed
30.3,Right-Handed
30.3,Right-Handed
30.4,Right-Handed
30.4,Right-Handed
30.4,Right-Handed
30.5,Right-Handed
30.5,Right-Handed
30.5,Right-Handed
30.6,Left-Handed
30.6,Left-Handed
30.6,Left-Handed
30.7,Left-Handed
30.7,Left-Handed
30.7,Left-Handed
30.8,Left-Handed
30.8,Left-Handed
30.8,Left-Handed
30.9,Left-Handed
30.9,Left-Handed
30.9,Left-Handed
31.0,Left-Handed
31.0,Left-Handed
31.0,Left-Handed
31.1,Left-Handed
31.1,Left-Handed
31.1,Left-Handed
31.2,Left-Handed
31.2,Left-Handed
31.2,Left-Handed
31.3,Left-Handed
31.3,Left-Handed
31.3,Left-Handed
31.4,Left-Handed
31.4,Left-Handed
31.4,Left-Handed
31.5,Left-Handed
31.5,Left-Handed
31.5,Left-Handed
31.6,Left-Handed
31.6,Left-Handed
31.6,Left-Handed
31.7,Left-Handed
31.7,Left-Handed
31.7,Left-Handed
31.8,Left-Handed
31.8,Left-Handed
31.8,Left-Handed
31.9,Left-Handed
31.9,Right-Handed
31.9,Right-Handed
32.0,Right-Handed
32.0,Right-Handed
32.0,Right-Handed
32.1,Right-Handed
32.1,Right-Handed
32.1,Right-Handed
32.2,Right-Handed
32.2,Right-Handed
32.2,Right-Handed
32.3,Left-Handed
32.3,Left-Handed
32.3,Left-Handed
32.4,Left-Handed
32.4,Left-Handed
32.4,Left-Handed
32.5,Left-Handed
32.5,Left-Handed
32.5,Left-Handed
32.6,Left-Handed
32.6,Left-Handed
32.6,Left-Handed
32.7,Left-Handed
32.7,Left-Handed
32.7,Left-Handed
32.8,Left-Handed
32.8,Left-Handed
32.8,Left-Handed
32.9,Left-Handed
32.9,Left-Handed
32.9,Left-Handed
33.0,Left-Handed
33.0,Left-Handed
33.0,Left-Handed
33.1,Left-Handed
33.1,Left-Handed
33.1,Left-Handed
33.2,Right-Handed
33.2,Right-Handed
33.2,Right-Handed
33.3,Right-Handed
33.3,Right-Handed
33.3,Right-Handed
33.4,Right-Handed
33.4,Right-Handed
33.4,Right-Handed
33.5,Right-Handed
33.5,Right-Handed
33.5,Right-Handed
33.6,Right-Handed
33.6,Right-Handed
33.6,Right-Handed
33.7,Right-Handed
33.7,Right-Handed
33.7,Left-Handed
33.8,Left-Handed
33.8,Left-Handed
33.8,Left-Handed
33.9,Left-Handed
33.9,Left-Handed
33.9,Left-Handed
34.0,Left-Handed
34.0,Left-Handed
34.0,Left-Handed
34.1,Left-Handed
34.1,Left-Handed
34.1,Left-Handed
34.2,Left-Handed
34.2,Left-Handed
34.2,Left-Handed
34.3,Left-Handed
34.3,Left-Handed
34.3,Left-Handed
34.4,Left-Handed
34.4,Left-Handed
34.4,Left-Handed
34.5,Left-Handed
34.5,Left-Handed
34.5,Left-Handed
34.6,Left-Handed
34.6,Left-Handed
34.6,Left-Handed
34.7,Left-Handed
34.7,Left-Handed
34.7,Left-Handed
34.8,Left-Handed
34.8,Left-Handed
34.8,Left-Handed
34.9,Left-Handed
34.9,Left-Handed
34.9,Left-Handed
35.0,Left-Handed
35.0,Left-Handed
35.0,Left-Handed
35.1,Left-Handed
35.1,Left-Handed
35.1,Left-Handed
35.2,Left-Handed
35.2,Left-Handed
35.2,Left-Handed
35.3,Left-Handed
35.3,Left-Handed
35.3,Left-Handed
35.4,Left-Handed
35.4,Left-Handed
35.4,Left-Handed
35.5,Left-Handed
35.5,Left-Handed
35.5,Left-Handed
35.6,Left-Handed
35.6,Left-Handed
35.6,Left-Handed
35.7,Left-Handed
35.7,Left-Handed
35.7,Left-Handed
35.8,Left-Handed
35.8,Left-Handed
35.8,Left-Handed
35.9,Left-Handed
35.9,Left-Handed
35.9,Left-Handed
36.0,Left-Handed
36.0,Left-Handed
36.0,Left-Handed
36.1,Left-Handed
36.1,Left-Handed
36.1,Left-Handed
36.2,Left-Handed
36.2,Left-Handed
36.2,Left-Handed
36.3,Left-Handed
36.3,Left-Handed
36.3,Left-Handed
36.4,Left-Handed
36.4,Left-Handed
36.4,Left-Handed
36.5,Left-Handed
36.5,Left-Handed
36.5,Left-Handed
36.6,Left-Handed
36.6,Left-Handed
36.6,Left-Handed
36.7,Left-Handed
36.7,Left-Handed
36.7,Left-Handed
36.8,Left-Handed
36.8,Left-Handed
36.8,Left-Handed
36.9,Left-Handed
36.9,Left-Handed
36.9,Left-Handed
37.0,Left-Handed
37.0,Left-Handed
37.0,Left-Handed
37.1,Left-Handed
37.1,Left-Handed
37.1,Left-Handed
37.2,Left-Handed
37.2,Left-Handed
37.2,Left-Handed
37.3,Left-Handed
37.3,Left-Handed
37.3,Left-Handed
37.4,Left-Handed
37.4,Left-Handed
37.4,Left-Handed
37.5,Left-Handed
37.5,Left-Handed
37.5,Left-Handed
37.6,Left-Handed
37.6,Left-Handed
37.6,Left-Handed
37.7,Left-Handed
37.7,Left-Handed
37.7,Left-Handed
37.8,Left-Handed
37.8,Left-Handed
37.8,Left-Handed
37.9,Left-Handed
37.9,Left-Handed
37.9,Left-Handed
38.0,Left-Handed
38.0,Left-Handed
38.0,Left-Handed
38.1,Left-Handed
38.1,Left-Handed
38.1,Left-Handed
38.2,Left-Handed
38.2,Left-Handed
38.2,Left-Handed
38.3,Left-Handed
38.3,Left-Handed
38.3,Left-Handed
38.4,Left-Handed
38.4,Left-Handed
38.4,Left-Handed
38.5,Left-Handed
38.5,Left-Handed
38.5,Left-Handed
38.6,Left-Handed
38.6,Left-Handed
38.6,Left-Handed
38.7,Left-Handed
38.7,Left-Handed
38.7,Left-Handed
38.8,Left-Handed
38.8,Left-Handed
38.8,Left-Handed
38.9,Left-Handed
38.9,Left-Handed
38.9,Left-Handed
39.0,Left-Handed
39.0,Left-Handed
39.0,Left-Handed
39.1,Left-Handed
39.1,Left-Handed
39.1,Left-Handed
39.2,Left-Handed
39.2,Left-Handed
39.2,Left-Handed
39.3,Left-Handed
39.3,Left-Handed
39.3,Left-Handed
39.4,Left-Handed
39.4,Left-Handed
39.4,Left-Handed
39.5,Left-Handed
39.5,Left-Handed
39.5,Left-Handed
39.6,Left-Handed
39.6,Left-Handed
39.6,Left-Handed
39.7,Left-Handed
39.7,Left-Handed
39.7,Left-Handed
39.8,Left-Handed
39.8,Left-Handed
39.8,Left-Handed
39.9,Left-Handed
39.9,Left-Handed
39.9,Left-Handed
40.0,Left-Handed
40.0,Left-Handed
40.0,Left-Handed
40.1,Left-Handed
40.1,Left-Handed
40.1,Left-Handed
40.2,Left-Handed
40.2,Left-Handed
40.2,Left-Handed
40.3,Left-Handed
40.3,Left-Handed
40.3,Left-Handed
40.4,Left-Handed
40.4,Left-Handed
40.4,Left-Handed
40.5,Left-Handed
40.5,Left-Handed
40.5,Left-Handed
40.6,Left-Handed
40.6,Left-Handed
40.6,Left-Handed
40.7,Left-Handed
40.7,Left-Handed
40.7,Left-Handed
40.8,Left-Handed
40.8,Left-Handed
40.8,Left-Handed
40.9,Left-Handed
40.9,Left-Handed
40.9,Left-Handed
41.0,Left-Handed
41.0,Left-Handed
41.0,Left-Handed
41.1,Left-Handed
41.1,Left-Handed
41.1,Left-Handed
41.2,Left-Handed
41.2,Left-Handed
41.2,Left-Handed
41.3,Left-Handed
41.3,Right-Handed
41.3,Right-Handed
41.4,Right-Handed
41.4,Right-Handed
41.4,Right-Handed
41.5,Right-Handed
41.5,Right-Handed
41.5,Right-Handed
41.6,Right-Handed
41.6,Right-Handed
41.6,Right-Handed
41.7,Right-Handed
41.7,Right-Handed
41.7,Right-Handed
41.8,Right-Handed
41.8,Right-Handed
41.8,Right-Handed
41.9,Right-Handed
41.9,Right-Handed
41.9,Right-Handed
42.0,Right-Handed
42.0,Right-Handed
42.0,Right-Handed
42.1,Right-Handed
42.1,Right-Handed
42.1,Right-Handed
42.2,Right-Handed
42.2,Right-Handed
42.2,Right-Handed
42.3,Right-Handed
42.3,Right-Handed
